QueryNumber;Precision@10
00001;0.2
00002;0.2
00003;0.2
00004;0.1
00005;0.2
00006;0.2
00007;0.2
00008;0.1
00009;0.3
00010;0.4
00011;0.3
00012;0.0
00013;0.4
00014;0.2
00015;0.1
00016;0.0
00017;0.2
00018;0.6
00019;0.0
00020;0.4
00021;0.4
00022;0.1
00023;0.0
00024;0.1
00025;0.1
00026;0.2
00027;0.2
00028;0.2
00029;0.2
00030;0.2
00031;0.2
00032;0.3
00033;0.4
00034;0.1
00035;0.3
00036;0.1
00037;0.2
00038;0.3
00039;0.0
00040;0.0
00041;0.4
00042;0.6
00043;0.0
00044;0.0
00045;0.3
00046;0.3
00047;0.1
00048;0.1
00049;0.5
00050;0.4
00051;0.1
00052;0.1
00053;0.3
00054;0.1
00055;0.0
00056;0.1
00057;0.2
00058;0.1
00059;0.1
00060;0.2
00061;0.5
00062;0.0
00063;0.1
00064;0.3
00065;0.1
00066;0.1
00067;0.2
00068;0.1
00069;0.2
00070;0.2
00071;0.3
00072;0.5
00073;0.4
00074;0.3
00075;0.4
00076;0.3
00077;0.1
00078;0.0
00079;0.0
00080;0.3
00081;0.4
00082;0.2
00083;0.3
00084;0.3
00085;0.0
00086;0.1
00087;0.0
00088;0.2
00089;0.3
00090;0.6
00091;0.0
00092;0.3
00094;0.1
00095;0.2
00096;0.1
00097;0.4
00098;0.2
00099;0.3
00100;0.3
